Genero;Categoria;SubCategoria;MAE;RMSE;MAPE_%;R2;Datos_Historicos;;;
MUJE;BOTA;CASU;187,44;323,06;18,75;0,940;42;;;
NIÑM;BOTA;CASU;87,82;136,41;50,63;0,9391;34;;;
HOMB;ZATO;VEST;142,3;211,35;35,27;0,9095;45;;;
MUJE;ZATO;VEST;1027;1680,85;147,55;0,9089;45;;;
HOMB;BOTI;CASU;199,55;362,74;96,04;0,904;43;;;
HOMB;SAND;CASU;266,45;468,16;11,38;0,8974;37;;;
NIÑU;ZAPA;OUTD;39,55;51,12;6,44;0,8712;19;;;
NIÑH;SAND;CASU;105,4;192,67;20,06;0,8694;27;;;
NIÑH;BOAG;DISE;105,61;142,86;225,75;0,8561;17;;;
HOMB;BOTI;VEST;171,01;233,04;104,84;0,8545;19;;;
HOMB;SAND;PLAY;181,75;414,66;85,25;0,8535;39;;;
MUJE;BOTI;CASU;1472,76;2699,19;42,65;0,8368;45;;;
MUJE;SAND;PLAY;240,4;387,74;63,97;0,8252;33;;;
MUJE;BOAG;DISE;459,56;752,29;40,95;0,8145;35;;;
NIÑM;BOTI;CASU;169,63;256,45;41,84;0,807;36;;;
NIÑH;ZAPA;DEPO;154,01;280,06;82,49;0,7963;34;;;
HOMB;BOTI;OUTD;11,82;14,1;15,4;0,7846;10;;;
HOMB;ZAPA;OUTD;560,12;813,74;9,44;0,7795;45;;;
MUJE;ZAPA;URBA;879,73;1400,41;39,64;0,7691;45;;;
HOMB;ZAPA;URBA;477,4;736,46;125,06;0,7629;45;;;
HOMB;ZATO;CASU;681,83;1090,02;5,98;0,7566;45;;;
MUJE;PUNT;DEPO;118,68;276,03;-6,32;0,754;29;;;
NIÑU;AQUA;NA;155,64;316,15;111,77;0,7449;22;;;
NONE;NONE;NONE;200,89;404,12;100,53;0,7447;15;;;
NIÑM;ZATO;VEST;619,38;1123,39;111,8;0,7444;41;;;
HOMB;ZAPA;FUTB;315,07;446,93;121,45;0,7422;41;;;
NIÑM;SAND;CASU;613,81;1208,53;18,75;0,7329;35;;;
NIÑM;BOAG;BASI;73,08;108,5;158,71;0,6888;17;;;
MUJE;SAND;DEPO;39,33;53,07;50,81;0,6771;17;;;
MUJE;BOAG;BASI;303,36;550,43;174,41;0,6764;33;;;
NIÑU;SAND;CASU;198,95;306,78;147,36;0,6623;20;;;
MUJE;ZAPA;DEPO;1126,77;2109,85;69,2;0,6541;45;;;
NIÑM;ZAPA;URBA;113,93;158,33;46,67;0,6539;36;;;
MUJE;SAND;CASU;2443,45;7016,9;878,01;0,6345;43;;;
UNIX;ZAPA;URBA;229,75;386,46;147,75;0,6301;41;;;
MUJE;ZAPA;SERV;39,48;47,74;51,04;0,6289;13;;;
MUJE;SAND;VEST;491,79;647,37;347,67;0,5652;21;;;
MUJE;ZATO;CASU;1261,13;1719,7;47,28;0,5573;45;;;
MUJE;ZAPA;OUTD;574,34;933,04;120,52;0,5154;45;;;
NIÑU;ZATO;CASU;35,22;45,06;72,57;0,4883;22;;;
HOMB;SAND;OUTD;65,42;92,35;115,9;0,484;28;;;
HOMB;ZAPA;DEPO;394;506,94;203,13;0,4836;40;;;
MUJE;AQUA;NA;215,24;363,79;58,4;0,4523;26;;;
NIÑH;ZAPA;URBA;174,02;264,65;292,7;0,4471;45;;;
NIÑU;BOTI;CASU;242,8;449,7;215,53;0,4432;32;;;
NIÑU;ZAPA;DEPO;457,39;714,14;98,09;0,4415;44;;;
HOMB;BOAG;BASI;145,04;195,23;89,93;0,4298;23;;;
MUJE;EVA;PANT;51,88;81,64;44,24;0,3747;16;;;
NIÑU;ZAPA;URBA;198,93;297,08;211,76;0,3714;36;;;
MUJE;PUNT;CASU;27,75;32,97;45,11;0,3569;18;;;
MUJE;BOTI;VEST;87,84;146,8;235,28;0,3131;26;;;
NIÑH;BOTI;VEST;573,44;925,72;919,33;0,3076;22;;;
NIÑM;BOAG;DISE;294,64;622,82;289,6;0,2779;24;;;
NIÑM;ZAPA;DEPO;203,8;314,86;209,37;0,2664;31;;;
NIÑH;ZAPA;OUTD;195,96;372,52;85,02;0,2589;30;;;
NIÑH;BOTI;CASU;70,03;114,62;127,82;0,2429;23;;;
MUJE;ZATO;FIES;25,66;37,94;45,79;0,1112;11;;;
NIÑH;ZATO;VEST;170,56;229,58;473,88;0,082;10;;;
